"INTERNAL,N,6,0","INACTIVE,L","PART_NO,C,20","DESC,C,70","DESC1,C,70","PRINTD1,L","TYPE,C,1","GROUP,N,6,0","GROUP1,N,4,0","GROUP2,N,4,0","GROUP3,N,4,0","SALE_ACC,N,5,0","BUY_ACC,N,5,0","UNIT,C,10","BIN,C,10","PRICE1,N,13,3","QTY1,N,9,2","PRICE2,N,13,3","QTY2,N,9,2","PRICE3,N,13,3","QTY3,N,9,2","PRICE4,N,13,3","QTY4,N,9,2","PRICE5,N,13,3","QTY5,N,9,2","SPRICE,N,13,3","SDATE1,D","SDATE2,D","COST,N,14,4","FACTOR,N,7,3","PUR_QTY,N,14,3","PUR_AMOUNT,N,15,3","QTY,N,12,3","BACKORDER,N,12,4","ONORDER,N,12,4","ONLAYBY,N,10,2","LASTSOLD,D","LASTBUY,D","LASTORDER,D","MINIMUM,N,8,0","MAXIMUM,N,8,0","TAXCODE,C,3","TAXCODE1,C,3","NOTES,C,57","TRACKSER,L","SUPPLIER,N,4,0","EDITQTY,L","BLOCKDISC,L","EDITPRICE,L","SELLUNIT,N,6,0","BUYUNIT,N,6,0","MADEUP,L","BFQTY,N,12,3","BFCOST,N,15,4","SPICTURE,C,80","USRPROMPT,C,80","EXPIRY,L","S_POINTS,N,8,0","USESCALE,L","CON_OUT,N,11,3","CON_IN,N,11,3","RELEASEDON,D","WEBSTORE,L","FROMTIME,C,5","TOTIME,C,5","COSTDATE,D","COSTDATE1,D","TEMPCOST,N,15,3","DAYS,N,5,0","BLOCKFRAC,L","MINSELL,N,13,3","SELLCHANGE,D","SPECIALS,N,3,0"
1376,FALSE,6958400000000,FLOSS TOOTHPICKS 100PCS,,FALSE,,9,0,0,0,0,0,,,2500,1,0,0,2400,3,0,0,0,0,0,,,1250,0,0,0,2,0,0,0,7/18/2025,5/24/2024,,2,0,,,,FALSE,0,FALSE,FALSE,FALSE,0,0,FALSE,0,0,,,FALSE,0,FALSE,0,0,,FALSE,7:00,20:00,,,0,0,FALSE,0,5/2/2025,0
1377,FALSE,8001090000000,ORAL B COMPLETE LASTING FRESHNESS 250ML,,FALSE,,9,0,0,0,0,0,,,5500,1,0,0,5170,3,0,0,0,0,0,,,1708.34,0,0,0,19,0,0,0,7/5/2025,4/15/2025,,2,0,,,,FALSE,0,FALSE,FALSE,FALSE,0,0,FALSE,0,0,,,FALSE,0,FALSE,0,0,,FALSE,7:00,20:00,,,0,0,FALSE,0,5/2/2025,0
1378,FALSE,8001090000000,ORAL-B KIDS 3+ YEARS TOOTHPASTE 75ML,,FALSE,,9,0,0,0,0,0,,,1584,1,0,0,1552.32,3,0,0,0,0,0,,,835,0,0,0,0,0,0,0,4/16/2024,,,2,0,,,,FALSE,0,FALSE,FALSE,FALSE,0,0,FALSE,0,0,,,FALSE,0,FALSE,0,0,,FALSE,7:00,20:00,,,0,0,FALSE,0,5/2/2025,0
1379,FALSE,8714790000000,10X LONGER COOLING COLGATE PLAX SOFT MINT 250ML,,FALSE,,9,0,0,0,0,0,,,5500,1,0,0,5200,3,0,0,0,0,0,,,1708.34,0,0,0,5,0,0,0,7/11/2025,4/15/2025,,2,0,,,,FALSE,0,FALSE,FALSE,FALSE,0,0,FALSE,0,0,,,FALSE,0,FALSE,0,0,,FALSE,7:00,20:00,,,0,0,FALSE,0,5/2/2025,0
1380,FALSE,8718950000000,COLGATE 360 GOLD,,FALSE,,9,0,0,0,0,0,,,2277,1,0,0,2231.46,3,0,0,0,0,0,,,750,0,0,0,0,0,0,0,3/31/2025,6/10/2023,,2,0,,,,FALSE,0,FALSE,FALSE,FALSE,0,0,FALSE,0,0,,,FALSE,0,FALSE,0,0,,FALSE,7:00,20:00,,,0,0,FALSE,0,5/2/2025,0
1381,FALSE,8718950000000,COLGATE MAXIMUM CAVITY PROTECTION TOOTHPASTE 130G,,FALSE,,9,0,0,0,0,0,,,2000,1,0,0,1901,3,0,0,0,0,0,,,1291.67,0,0,0,-5,0,0,0,7/3/2025,4/15/2025,,0,0,,,,FALSE,0,FALSE,FALSE,FALSE,0,0,FALSE,0,0,,,FALSE,0,FALSE,0,60,,FALSE,7:00,20:00,,,0,0,FALSE,0,5/2/2025,0
1382,FALSE,8718950000000,10X LONGER COOLING COLGATE PLAX PEPPERMINT FLAVOUR,,FALSE,,9,0,0,0,0,0,,,5313,1,0,0,5206.74,3,0,0,0,0,0,,,1920,0,0,0,0,0,0,0,6/27/2025,6/19/2023,,2,0,,,,FALSE,0,FALSE,FALSE,FALSE,0,0,FALSE,0,0,,,FALSE,0,FALSE,0,0,,FALSE,7:00,20:00,,,0,0,FALSE,0,5/7/2025,0
1383,FALSE,8801050000000,LISTERINE REACH  2 IN 1 TOOTHBRUSH,,FALSE,,9,0,0,0,0,0,,,4500,1,0,0,4350,3,0,0,0,0,0,,,1833.34,0,0,0,5,0,0,0,7/11/2025,2/13/2025,,2,0,,,,FALSE,0,FALSE,FALSE,FALSE,0,0,FALSE,0,0,,,FALSE,0,FALSE,0,0,,FALSE,7:00,20:00,,,0,0,FALSE,0,5/2/2025,0
1384,FALSE,9555830000000,KS HIGH QUALITY TOOTH BRUSH  2 PCS HARD,,FALSE,,9,0,0,0,0,0,,,1000,1,0,0,950,3,0,0,0,0,0,,,454.87,0,0,0,107,0,0,0,7/19/2025,11/18/2024,,2,0,,,,FALSE,0,FALSE,FALSE,FALSE,0,0,FALSE,0,0,,,FALSE,0,FALSE,0,120,,FALSE,7:00,20:00,,,0,0,FALSE,0,5/2/2025,0
1385,FALSE,20006,MARY KAY CLEARPROOF BLEMISH CONTROL TONER 147ML,,FALSE,,10,0,0,0,0,0,,,15180,1,0,0,14876.4,3,0,0,0,0,0,,,6490,0,0,0,2,0,0,0,6/26/2023,6/13/2023,,2,0,,,,FALSE,0,FALSE,FALSE,FALSE,0,0,FALSE,0,0,,,FALSE,0,FALSE,0,0,,FALSE,7:00,20:00,,,0,0,FALSE,0,5/6/2025,0
1386,FALSE,20007,MARY KAY CLEARPROOF CLARIFYING CLEANSING GEL 127G,,FALSE,,10,0,0,0,0,0,,,15180,1,0,0,14876.4,3,0,0,0,0,0,,,6490,0,0,0,-3,0,0,0,4/5/2025,6/13/2023,,2,0,,,,FALSE,0,FALSE,FALSE,FALSE,0,0,FALSE,0,0,,,FALSE,0,FALSE,0,0,,FALSE,7:00,20:00,,,0,0,FALSE,0,5/5/2025,0
1387,FALSE,20015,FLAWLESS INY SKIN & UNIK TOUCH MICELLAR CLEANSING,,FALSE,,10,0,0,0,0,0,,,7260,1,0,0,7114.8,3,0,0,0,0,0,,,3500,0,0,0,3,0,0,0,7/22/2025,6/24/2023,,2,0,,,,FALSE,0,FALSE,FALSE,FALSE,0,0,FALSE,0,0,,,FALSE,0,FALSE,0,0,,FALSE,7:00,20:00,,,0,0,FALSE,0,5/5/2025,0
1388,FALSE,20032,LOVE NATURE RADIANCE TONER 150ML,,FALSE,,38,0,0,0,0,0,,,10219,1,0,0,10219,3,0,0,0,0,9708.05,3/3/2025,3/5/2025,5010,0,0,0,6,0,0,0,9/7/2023,9/18/2023,,0,0,,,,FALSE,0,FALSE,FALSE,FALSE,0,0,FALSE,0,0,,,FALSE,0,FALSE,0,0,,FALSE,7:00,20:00,,,0,0,FALSE,0,2/22/2024,0
1389,FALSE,20034,LOVE NATURE ENERGISING CLEANSER 125ML,,FALSE,,38,0,0,0,0,0,,,10219,1,0,0,10219,3,0,0,0,0,9708.05,3/3/2025,3/5/2025,5010,0,0,0,1,0,0,0,6/5/2025,9/18/2023,,0,0,,,,FALSE,0,FALSE,FALSE,FALSE,0,0,FALSE,0,0,,,FALSE,0,FALSE,0,0,,FALSE,7:00,20:00,,,0,0,FALSE,0,2/22/2024,0
1390,FALSE,20037,PURE SKIN CLARIFYING TONING SOLUTION BHA+PHA ACIDS,,FALSE,,38,0,0,0,0,0,,,12590,1,0,0,12590,3,0,0,0,0,9965.5,3/3/2025,3/5/2025,5915,0,0,0,5,0,0,0,3/9/2024,2/7/2024,,0,0,,,,FALSE,0,FALSE,FALSE,FALSE,0,0,FALSE,0,0,,,FALSE,0,FALSE,0,0,,FALSE,7:00,20:00,,,0,0,FALSE,0,6/17/2025,0
1391,FALSE,20190,CETAPHIL FACIAL CLEANSER 591ML,,FALSE,,10,0,0,0,0,0,,,20526,1,0,0,20115.48,3,0,0,0,0,0,,,12550,0,0,0,3,0,0,0,12/22/2023,2/13/2024,,2,0,,,,FALSE,0,FALSE,FALSE,FALSE,0,0,FALSE,0,0,,,FALSE,0,FALSE,0,0,,FALSE,7:00,20:00,,,0,0,FALSE,0,7/15/2025,0
